pizza,egg-tomato,bean,Fish in oil,coca_cola,humberger,franch_frise,dessert,family_portrait_package,dumplings,business volume
344,705,448,133,589,772,736,657,1,19,37791
374,555,643,38,785,949,774,718,59,17,39712
434,660,605,57,746,938,907,683,35,12,40834
298,828,400,64,739,906,975,699,27,29,39780
115,583,681,30,577,805,915,435,77,9,33077
403,958,481,50,733,984,1020,754,54,24,44939
294,576,389,57,430,442,457,449,38,17,27841
402,502,266,72,499,481,356,594,30,12,29644
495,549,449,129,768,882,775,823,29,9,43168
306,652,547,125,550,561,659,529,28,15,35046
380,874,451,24,745,951,975,656,80,20,42549
127,679,272,44,461,605,728,357,55,19,27974
184,546,576,141,636,892,841,619,100,6,41715
290,663,671,53,420,478,510,483,95,16,33864
395,916,286,64,753,829,787,637,100,28,43329
265,524,698,102,593,678,589,509,94,26,37602
244,921,292,40,451,567,554,449,83,8,32470
148,425,562,88,639,806,790,563,99,30,36931
170,884,630,113,522,631,665,468,84,14,37788
470,658,566,97,554,532,423,650,70,21,38602
186,670,239,106,565,660,712,467,100,20,35752
465,842,560,94,543,600,646,645,12,13,37969
452,855,248,99,550,489,569,631,60,9,37853
495,529,598,27,752,949,974,750,24,5,39642
345,921,647,148,769,905,852,768,5,11,44481
430,736,665,102,611,661,676,714,94,21,43970
295,430,215,33,430,469,545,450,10,19,23899
498,839,549,47,519,465,340,586,49,15,35031
236,770,393,130,508,620,738,602,17,22,35451
146,720,484,93,594,762,843,540,90,10,37639
295,675,440,143,758,911,868,727,44,5,42286
366,912,261,57,530,528,435,482,77,19,34389
476,548,342,41,744,837,782,692,86,14,40176
262,724,524,82,476,531,543,464,27,20,31221
399,532,474,125,490,516,615,631,9,23,34507
443,723,415,141,704,864,975,737,88,14,47739
365,885,327,29,583,729,744,519,18,30,33915
498,782,607,104,654,785,869,790,29,8,43926
253,947,377,96,588,705,808,607,97,18,41341
138,617,398,67,496,687,591,460,89,9,31877
356,713,404,36,590,710,669,612,25,29,33849
206,927,538,74,483,701,616,539,40,16,34752
404,585,623,77,660,698,765,676,18,15,37015
143,649,338,24,491,569,656,356,75,25,28134
430,981,223,93,509,571,678,581,18,16,36508
276,466,321,138,736,929,951,733,77,22,42534
230,571,531,41,474,531,545,385,70,5,28982
354,773,253,111,576,673,697,577,62,25,38466
231,495,483,40,533,573,713,459,14,8,27162
231,553,233,146,623,767,859,642,84,6,39482
118,767,691,32,625,796,900,442,33,18,32504
405,654,432,110,741,890,921,707,5,11,40075
457,921,437,142,842,977,1044,829,7,20,47703
421,547,266,133,483,541,612,660,36,8,35834
310,819,561,91,596,709,704,594,70,15,39512
442,730,452,53,502,551,477,517,41,10,33178
195,416,649,49,687,942,920,522,99,30,37710
449,513,538,74,472,476,572,540,64,8,34383
222,532,354,67,621,865,756,601,31,18,33155
478,695,313,75,795,948,964,750,4,27,40990
454,912,477,127,658,711,654,730,78,9,45166
133,953,551,125,348,436,503,387,73,10,33507
379,856,480,98,476,446,343,575,78,7,36428
381,708,697,104,753,977,932,807,83,26,47872
416,752,480,72,755,838,695,747,82,7,42626
451,473,372,46,790,954,894,728,93,27,42348
398,506,215,96,504,569,463,657,25,25,32431
416,884,560,119,597,731,607,638,31,12,40543
198,974,251,21,472,497,646,380,44,18,28607
262,553,353,102,516,693,760,554,5,19,32049
471,432,613,125,577,518,424,611,44,14,36180
436,682,455,57,668,846,763,710,8,30,37774
133,483,308,91,568,836,745,570,30,23,31627
356,902,637,55,473,517,602,512,18,29,33871
273,979,476,147,583,640,551,592,92,14,42119
221,901,265,147,450,467,619,530,100,21,38505
137,937,569,129,702,994,942,621,60,29,43448
186,841,578,149,650,833,751,634,62,25,42061
356,612,406,132,641,723,622,681,96,28,42112
282,480,539,51,550,752,729,610,37,27,33377
483,992,253,111,672,769,750,733,4,8,41134
253,444,448,111,754,928,814,708,15,14,36580
462,609,258,101,488,518,386,619,91,29,37352
233,923,581,79,597,706,663,526,52,10,36616
293,650,514,102,567,624,568,572,0,18,32474
103,931,422,24,431,617,481,415,24,15,26658
407,965,355,65,639,797,694,677,38,30,40029
155,929,204,31,490,712,589,449,31,25,29173
465,535,526,26,751,885,885,659,41,28,38593
211,719,686,106,672,928,973,651,100,25,44502
443,709,320,96,655,783,872,682,68,16,42143
322,604,528,48,792,980,814,700,68,14,39932
482,937,619,102,655,730,735,727,12,29,42703
359,827,361,70,654,808,921,669,40,28,39922
131,726,223,56,612,843,875,544,83,19,35200
494,720,589,101,605,701,676,661,73,25,43007
419,539,424,150,611,598,475,724,25,12,37374
437,634,266,102,544,547,418,622,28,24,34056
340,804,285,119,636,737,812,596,82,19,41518
443,803,680,79,840,974,958,741,64,5,46377
360,578,579,97,632,684,565,593,53,16,36826
424,966,466,132,752,827,773,733,89,8,47765
466,991,209,21,613,669,526,566,65,16,36480
420,730,519,42,707,811,687,674,49,12,38475
142,983,590,37,337,458,481,384,18,6,26770
226,761,229,111,611,709,741,625,68,14,37460
101,521,682,134,639,958,1029,561,62,15,39561
237,874,414,107,626,870,898,614,42,17,39857
456,400,592,126,663,765,736,757,90,8,43452
228,840,693,29,706,993,1074,648,28,30,39397
206,405,323,144,601,776,733,650,63,11,36531
143,843,530,109,487,557,521,437,87,7,34549
241,445,627,36,547,585,456,409,53,7,27769
107,825,393,37,397,544,598,403,79,8,29266
340,555,613,133,575,749,646,696,6,12,37090
349,813,228,132,759,947,813,773,92,29,46510
413,899,484,136,567,566,513,586,9,16,37514
188,799,586,52,547,629,753,446,72,22,34318
381,641,640,104,650,756,606,667,1,15,36764
439,872,558,38,576,544,551,593,98,26,39271
401,798,408,125,630,794,668,672,8,11,39023
189,569,642,61,718,918,926,531,57,5,36239
311,971,213,41,395,451,450,496,7,25,28476
273,476,661,57,544,727,769,567,1,28,31648
117,431,699,137,544,843,680,558,3,22,32868
498,810,536,24,784,943,946,761,80,30,45459
458,928,214,99,675,837,944,693,67,24,44879
360,431,535,25,505,503,552,451,5,21,26405
332,490,504,114,562,658,547,587,54,18,35648
159,846,357,119,542,630,747,479,5,15,32326
311,428,477,66,555,691,761,583,37,30,33358
360,606,230,26,550,567,608,475,45,18,29717
103,496,348,145,523,804,853,596,36,21,34750
168,425,667,133,650,997,1006,638,91,28,42675
357,838,593,108,751,923,847,672,11,25,41763
411,772,348,94,595,702,568,677,6,8,35768
397,727,331,85,728,827,814,657,98,26,43116
145,523,275,32,673,957,1061,565,44,15,32895
171,444,395,81,360,487,389,377,40,23,25317
420,731,385,140,645,740,678,765,49,22,42686
295,684,353,41,719,859,768,570,56,12,35581
414,938,580,106,709,750,630,726,22,6,41251
279,485,475,36,637,849,961,527,90,6,36344
441,401,489,91,824,990,897,840,51,30,43375
367,741,341,74,765,932,847,664,80,23,42316
428,423,205,30,502,499,429,580,43,25,28771
401,670,677,127,672,814,825,671,40,14,42575
213,676,467,65,501,591,515,418,42,17,29702
374,592,273,64,771,904,947,736,98,9,42219
433,871,316,36,450,480,595,507,74,19,34856
465,825,304,100,760,930,790,809,82,29,46812
214,426,264,150,690,928,785,691,89,8,40268
120,419,202,103,345,444,526,388,22,23,23919
387,513,670,109,558,510,577,555,4,10,32942
394,898,696,100,689,830,943,761,4,6,42625
182,861,276,42,375,524,507,342,3,11,24636
296,549,348,59,727,886,875,586,12,26,34170
410,628,346,44,783,983,862,742,76,25,41839
193,952,300,101,422,507,387,464,38,11,30856
428,530,385,136,630,640,747,715,54,5,39984
407,450,491,58,541,632,726,623,72,29,36420
295,998,434,61,488,516,612,427,98,18,36548
465,609,491,139,547,606,566,639,72,7,40605
292,822,280,31,619,757,677,504,20,20,31749
454,741,503,103,619,717,565,714,2,17,37903
301,528,680,89,709,889,791,676,49,24,39538
232,529,286,66,669,970,963,642,17,28,34905
122,738,500,119,607,794,687,541,90,24,38416
191,742,272,130,454,603,682,461,47,29,33863
309,576,591,133,771,957,854,794,21,13,41854
385,900,437,42,540,662,713,517,72,21,37537
104,893,595,39,586,865,810,446,1,12,30973
468,703,577,140,785,969,964,789,36,22,47367
324,542,579,67,504,558,427,483,11,6,28728
395,824,426,88,499,563,556,538,94,17,38706
414,995,499,41,728,931,778,661,83,7,43506
112,489,255,140,360,473,473,483,76,28,30446
185,863,340,70,584,717,727,523,36,10,33270
185,720,695,35,494,596,726,402,92,5,33096
280,982,525,23,589,777,773,579,87,13,38773
119,593,358,137,354,491,478,399,42,10,28567
359,530,418,58,667,902,806,655,44,24,37274
405,702,665,126,717,885,948,814,95,19,48921
297,522,499,56,512,544,499,462,52,22,30258
357,769,532,25,700,818,705,578,78,26,38406
298,754,670,51,681,838,758,612,21,25,36667
452,753,645,90,775,969,914,804,0,29,43552
156,528,571,42,436,654,513,484,90,29,31174
412,877,473,33,669,755,805,618,80,19,40539
102,984,629,67,627,816,780,475,47,7,35514
154,485,453,24,710,945,778,532,19,26,30124
453,868,332,106,605,545,622,688,10,11,37310
419,758,520,112,765,849,767,749,40,21,43248
464,591,447,120,525,529,526,667,23,6,35935
476,907,490,89,614,670,661,707,17,18,39927
400,570,270,70,695,846,745,725,30,25,37252
152,409,332,24,670,988,829,559,22,26,29812
340,434,468,91,690,767,669,599,37,10,34886
352,477,315,100,390,433,336,570,90,6,32482
108,712,303,29,430,497,370,310,47,5,23096
172,836,507,111,643,939,868,640,8,8,37604
418,916,224,131,508,484,357,665,100,23,40784
238,958,319,89,553,680,799,576,56,24,37751
185,682,540,121,393,544,465,528,15,28,31115
333,709,630,47,642,828,718,624,16,19,35681
333,677,642,136,534,589,709,569,3,21,36193
351,596,340,141,499,574,628,596,22,17,35090
371,829,578,113,683,908,997,706,81,23,46984
223,779,399,42,526,632,562,458,32,7,29475
344,587,584,32,670,771,714,542,15,22,32835
406,927,601,97,566,596,479,650,67,19,40557
458,676,559,117,710,772,753,733,90,7,45143
297,510,690,21,447,458,553,416,27,6,26695
172,772,692,44,512,643,616,432,25,5,29844
416,703,201,139,666,804,895,718,24,18,41214
314,611,424,91,747,993,853,762,41,30,40991
447,651,330,90,544,508,650,602,100,27,39304
254,976,335,58,723,964,813,677,38,30,39542
347,954,538,136,609,632,496,590,63,7,40631
282,703,653,27,423,514,432,445,25,9,27954
223,661,466,59,372,441,368,447,96,9,30328
289,904,325,116,589,651,671,629,15,21,36531
227,668,464,73,402,530,401,471,27,25,28677
231,620,283,70,362,449,548,402,16,25,26180
264,753,222,66,512,607,476,454,0,26,27999
105,745,338,60,459,662,640,368,17,17,26935
126,467,696,94,383,587,618,487,48,11,30275
374,680,467,96,512,548,542,593,64,11,36290
164,489,239,128,602,794,866,637,11,20,33475
400,452,282,110,721,932,884,700,73,25,41926
285,704,530,27,658,815,815,584,6,5,32674
313,941,695,123,788,987,1054,757,18,19,45995
300,585,655,60,630,698,626,545,18,28,32993
237,450,638,48,520,614,705,482,82,24,32865
438,905,596,67,718,831,815,671,24,16,41232
479,404,628,146,692,759,704,712,50,6,41934
106,927,253,134,668,924,908,626,41,28,39671
249,908,479,28,652,895,957,582,68,30,39251
117,986,627,41,586,805,869,453,13,24,33210
475,734,285,84,745,842,727,716,11,13,38868
342,934,311,132,554,720,643,712,72,8,42185
334,522,603,88,790,973,961,749,12,8,39526
173,871,277,63,568,714,697,455,67,10,33393
351,449,522,66,574,705,670,617,55,17,34967
143,670,656,145,533,732,705,612,97,18,40531
215,579,654,40,529,653,529,440,45,16,29733
456,551,670,38,646,765,774,690,36,17,37726
491,632,620,60,585,503,508,561,45,18,35287
297,730,393,124,426,484,424,586,48,5,33839
437,414,277,75,718,840,832,722,26,10,36671
373,992,275,40,544,631,495,592,86,26,37387
178,513,592,111,722,966,928,679,54,27,39930
152,431,621,54,502,720,836,425,51,10,30323
253,865,384,30,499,695,674,481,48,19,32536
191,1000,412,50,558,717,785,471,17,8,32506
153,985,556,50,738,975,1051,514,85,18,41142
401,552,585,93,637,699,679,631,92,29,40906
201,682,268,64,707,878,927,630,73,30,37924
105,857,636,68,379,442,440,356,21,12,26668
175,902,687,51,719,922,859,545,0,6,34960
413,530,585,34,642,641,710,613,37,30,34709
445,904,290,23,764,897,922,633,56,10,40363
355,887,577,40,625,707,729,551,36,24,36598
106,886,552,110,523,742,691,545,32,27,35386
467,826,353,103,553,605,641,606,33,9,37988
443,665,608,71,754,939,906,748,1,19,40560
493,639,469,77,719,729,622,753,30,12,38927
484,862,398,76,531,581,609,588,72,15,39371
184,448,626,52,493,670,691,504,7,29,28416
368,656,602,59,779,926,883,711,99,26,44156
498,541,357,115,803,850,958,741,44,8,43059
221,816,574,45,732,1000,824,623,18,28,36964
231,913,465,139,465,642,771,537,74,30,40396
288,824,578,26,763,939,812,571,95,22,40564
350,780,648,105,489,520,417,511,39,12,34784
475,559,616,89,778,893,949,799,34,6,43097
118,947,639,86,633,904,841,557,4,6,35660
435,560,462,122,562,539,460,646,2,12,33948
352,530,694,33,436,498,496,475,75,10,31635
417,958,222,84,688,792,755,723,8,12,38989
404,685,305,132,520,553,429,673,41,23,36785
129,987,640,44,745,993,980,542,68,5,39586
332,990,698,34,657,749,774,574,97,24,41840
309,566,218,70,381,459,394,440,20,28,26495
353,541,259,86,801,954,797,712,45,12,38729
289,673,268,23,699,852,864,571,60,7,34732
472,673,610,53,877,984,1037,820,76,6,46422
232,907,480,90,433,534,596,436,2,25,31000
313,510,204,139,618,776,683,649,69,5,38071
492,641,213,69,708,763,852,668,86,8,41155
454,476,302,48,617,699,571,664,48,20,34462
176,893,212,71,380,477,363,432,18,5,26205
101,875,664,150,568,755,730,514,89,19,40807
340,535,493,36,610,719,802,616,94,26,37506
120,951,220,145,572,900,815,596,24,25,38016
472,862,662,119,806,924,856,764,23,27,46420
469,798,388,47,651,704,797,646,54,15,39164
438,934,672,45,625,676,572,578,32,25,37827
480,898,607,33,758,914,898,723,73,28,45240
283,804,478,22,685,983,898,607,46,7,37322
174,503,227,31,515,671,724,399,22,16,25480
429,936,387,54,585,625,763,598,15,22,36484
245,889,680,122,687,929,1012,673,12,23,42406
331,488,397,142,554,542,647,557,99,5,38039
484,843,317,58,763,846,868,724,63,24,43208
275,783,341,91,608,766,693,580,95,28,39655
493,668,376,38,656,753,861,668,35,8,37676
217,690,578,45,592,782,763,528,98,9,36743
233,575,551,109,500,513,407,503,31,25,30841
306,736,633,68,768,990,1042,701,77,7,43868
479,637,484,69,610,617,546,661,45,6,36625
360,871,539,75,794,968,894,711,76,8,44710
212,514,493,27,521,583,707,366,49,23,28027
169,779,453,67,652,914,1007,549,92,26,40023
421,664,244,147,735,833,787,747,14,23,41169
208,740,498,49,557,691,603,458,71,9,32820
452,926,566,109,538,449,476,545,95,10,40786
155,584,684,65,473,598,723,400,8,13,28126
355,743,566,85,610,629,707,569,94,27,40324
449,532,365,47,566,510,656,548,38,10,32109
204,902,324,121,424,447,402,414,45,22,31542
397,850,209,144,627,675,586,682,22,22,39136
238,994,646,102,712,977,812,613,7,8,39957
487,1000,656,131,686,823,671,794,89,14,49833
122,890,599,34,571,747,817,394,41,16,32101
240,775,319,150,455,623,489,632,68,23,37736
425,586,688,31,708,893,745,694,33,17,38090
140,683,249,36,414,556,428,321,77,19,26358
185,490,211,132,443,515,432,486,26,21,28193
294,680,497,120,740,975,1014,680,10,14,40650
470,807,587,34,734,792,793,672,70,12,41603
305,878,466,28,540,719,810,595,16,15,34015
350,654,363,77,592,731,782,596,29,25,35714
488,849,220,139,590,523,500,671,65,29,41219
327,687,637,132,465,587,539,589,94,18,40128
272,591,236,70,561,626,676,499,2,20,28945
212,781,401,148,648,907,953,691,34,10,41276
149,933,619,149,501,628,707,550,95,9,40911
168,638,568,141,429,456,456,413,40,28,31286
328,764,354,90,470,523,648,501,54,9,34214
447,907,421,144,709,817,812,819,0,26,44208
185,537,415,98,700,938,880,677,63,5,38071
264,550,368,121,575,663,526,549,47,16,33847
500,543,623,109,527,532,472,655,16,22,36117
299,786,413,99,649,819,745,623,51,23,39298
423,853,698,149,666,745,763,692,42,25,45236
278,852,458,123,477,516,559,496,74,19,37011
284,688,239,130,605,709,663,568,83,29,38900
246,522,223,34,422,526,566,375,71,30,27593
425,802,592,134,542,495,466,630,63,18,40144
310,510,505,120,585,622,755,636,38,10,36148
333,765,700,148,654,836,704,684,71,26,45025
286,755,693,110,760,953,917,740,33,7,42715
327,778,618,134,567,623,519,595,62,7,39174
448,698,352,33,747,872,899,737,55,8,40080
445,967,676,38,513,467,361,590,10,22,33593
428,887,314,32,532,592,629,528,53,10,34684
374,507,478,106,481,472,476,532,97,15,35810
166,961,603,139,671,951,843,650,49,21,43127
365,676,676,68,541,679,723,550,41,10,36205
201,921,618,110,571,738,619,566,77,7,39345
141,784,200,101,499,655,704,479,12,9,29985
231,838,463,92,679,897,830,628,21,23,38085
173,934,485,131,549,831,920,555,95,13,42808
244,673,294,111,485,642,587,594,60,20,34980
121,422,247,36,602,953,975,523,76,13,32388
163,791,379,29,649,911,823,534,46,15,33678
304,747,299,146,402,462,429,551,0,5,31270
287,406,570,54,524,648,633,468,95,27,33712
198,680,569,119,541,628,489,538,95,28,37265
351,515,481,39,481,585,542,495,19,16,28851
400,587,686,46,509,582,482,602,43,23,33870
430,444,604,49,566,532,555,542,20,13,30936
168,990,206,95,715,940,923,649,20,24,38354
435,809,286,62,787,908,975,749,19,28,41188
312,948,533,140,524,681,746,575,70,13,42231
351,812,595,123,572,729,588,640,40,29,40179
500,937,384,133,675,800,826,761,19,16,44658
254,777,610,137,527,674,797,616,83,6,41470
498,815,682,116,860,979,808,833,32,21,47696
236,450,256,34,501,703,654,462,51,17,28369
484,453,694,101,706,763,767,758,81,24,43934
375,746,594,129,623,663,617,643,9,20,38112
342,974,349,114,432,521,565,540,39,27,36575
110,894,378,73,553,787,682,502,61,19,34346
249,498,632,87,767,972,810,710,18,15,37338
290,829,435,61,510,597,695,492,21,23,32586
123,630,507,25,475,600,608,381,25,13,25455
359,718,262,110,704,847,682,717,68,14,41042
288,469,327,57,693,868,804,614,74,23,36350
413,883,388,133,529,635,714,634,30,23,40247
143,485,297,42,391,481,451,406,14,12,21866
284,792,319,104,652,885,816,707,60,20,41048
383,896,477,90,584,653,690,671,47,27,40030
171,665,244,36,467,648,721,403,21,29,27077
280,945,485,84,656,770,768,592,6,16,36663
433,820,243,145,707,765,868,728,23,14,42499
483,425,434,86,760,932,934,776,17,21,40448
385,905,261,44,575,615,617,523,41,27,34423
335,444,400,64,788,992,1057,717,28,28,38713
470,987,611,66,749,939,777,793,61,30,46791
247,442,507,36,657,878,925,581,60,9,34614
345,960,463,22,633,795,779,587,19,9,35531
182,932,551,75,453,626,555,433,17,22,31341
233,422,275,28,449,584,482,494,70,30,27703
103,962,672,25,410,581,576,369,69,24,30867
139,676,434,141,477,734,732,492,71,9,36268
156,567,573,135,665,958,823,646,51,30,39743
412,864,286,47,614,618,592,594,75,5,36792
348,692,454,62,618,730,636,566,31,17,34547
474,924,327,27,755,840,899,628,63,10,41115
484,637,472,114,669,813,850,744,89,7,45449
169,493,213,105,591,716,666,475,27,24,30062
141,816,447,65,617,868,720,499,78,26,36318
241,426,512,93,566,760,761,594,92,19,37179
233,693,411,33,530,574,541,478,17,21,27808
101,889,415,88,417,551,461,448,20,15,28611
109,434,611,130,719,969,872,600,88,18,39810
399,773,470,110,579,585,655,625,50,10,38671
264,894,475,146,587,799,643,704,49,27,41934
119,710,367,143,606,797,644,561,42,29,35883
460,658,316,91,702,732,647,645,36,16,37953
385,822,378,147,767,910,869,780,15,11,43730
448,725,419,113,651,665,626,692,42,9,39681
379,845,219,71,705,825,860,638,2,20,36861
346,697,221,45,700,898,999,643,24,30,36968
344,643,492,129,624,698,809,618,1,28,37231
316,715,642,144,451,442,357,589,40,14,35355
129,504,645,146,649,916,988,599,52,19,39606
346,955,389,28,387,445,367,414,52,29,30510
462,442,601,116,526,575,544,707,76,11,39355
333,931,480,150,473,595,468,601,4,23,36894
143,954,672,28,664,848,696,546,1,22,32657
315,507,475,136,429,469,362,488,97,26,35278
171,772,473,41,507,728,789,433,84,24,34200
260,989,483,55,797,995,928,605,70,26,42490
373,943,221,51,633,835,732,693,95,25,41840
135,682,620,90,678,992,990,588,95,22,41577
484,908,457,117,609,676,781,726,71,10,44987
442,413,693,94,733,865,808,697,6,9,38310
320,570,361,112,687,933,1025,724,77,10,42943
433,427,447,87,622,598,731,638,53,14,36359
269,759,300,86,421,475,535,517,53,13,31896
394,416,473,70,489,533,505,590,35,22,31549
182,903,520,118,734,958,862,654,68,21,43037
302,571,554,120,590,738,710,571,56,22,38060
170,828,647,77,474,639,751,502,53,24,35065
431,786,627,63,552,518,563,618,86,12,38899
464,486,401,149,724,877,857,761,77,26,45841
468,543,674,40,519,533,463,623,30,17,33063
281,904,594,85,557,703,706,559,89,30,40692
470,808,536,41,752,951,841,715,69,18,43672
356,947,363,132,550,604,501,573,39,15,37982
148,857,314,125,657,929,984,636,58,7,40576
410,620,222,106,766,854,793,759,39,8,40108
238,547,275,60,649,857,908,574,46,16,34287
280,521,228,79,801,981,805,670,61,29,38242
186,431,487,143,396,567,532,484,14,15,29544
296,952,626,133,706,990,881,790,87,14,48857
111,942,601,33,615,939,1034,486,32,27,35812
199,407,216,134,691,938,850,616,68,27,37977
295,576,530,24,799,978,952,624,79,7,38743
310,765,291,90,577,639,668,533,98,28,38313
287,827,331,121,719,889,751,661,83,23,42998
255,535,348,128,575,632,756,549,94,20,37812
147,449,213,123,425,563,439,437,69,17,29112
469,477,225,109,669,724,581,698,53,8,37728
415,926,373,111,609,751,871,745,49,21,43704
495,902,691,148,847,972,860,887,80,9,53032
295,851,237,37,458,551,621,432,14,14,28578
302,582,543,121,693,962,819,759,53,29,42578
333,536,499,42,433,493,417,500,40,7,28443
295,921,346,132,693,927,884,712,55,26,44399
126,721,644,92,633,889,903,514,57,20,37584
381,848,529,75,543,619,750,567,18,22,36333
366,763,678,45,643,740,726,566,63,16,38252
435,522,559,63,690,878,771,734,52,6,39703
445,427,682,23,692,725,651,562,23,6,32721
244,418,642,86,405,539,581,454,37,15,29679
139,987,565,85,496,740,643,467,19,13,33306
272,844,593,65,746,959,1000,639,91,15,43776
143,481,422,23,448,543,531,421,10,18,22781
316,909,299,147,590,705,823,606,40,15,40580
133,482,587,65,638,881,991,585,55,30,35648
253,762,452,121,460,483,521,453,47,23,33406
113,944,541,22,514,614,552,354,65,21,30013
393,893,342,26,449,478,580,536,93,18,35368
379,581,581,130,660,732,717,666,26,10,38952
317,934,635,34,790,971,828,601,93,10,42761
394,591,317,51,639,801,901,613,79,11,38479
124,770,247,70,592,877,851,474,83,27,35763
203,526,669,124,584,673,633,587,39,15,35006
218,523,310,101,447,581,514,480,37,15,29422
480,588,379,48,533,517,482,547,20,30,31569
368,780,236,106,741,965,946,727,15,12,40852
148,787,550,52,415,506,633,337,26,7,27272
233,762,601,22,461,486,394,407,81,25,30228
432,634,445,87,641,739,752,621,54,21,39251
462,752,577,34,534,443,326,509,16,24,30734
109,633,301,141,515,651,714,461,18,30,31459
210,986,583,48,392,547,510,481,100,23,35455
285,449,660,114,632,790,777,594,16,18,35775
360,672,680,75,499,614,733,523,80,14,38020
482,669,277,20,714,834,894,699,97,10,41117
195,608,518,71,428,518,504,408,24,23,27647
351,649,591,36,785,974,974,676,92,8,42377
274,575,320,44,580,716,587,523,49,27,31419
454,950,628,20,743,840,711,619,46,23,40350
452,657,224,142,542,490,487,669,80,18,39376
394,574,415,65,833,979,828,727,44,10,39934
466,814,436,75,632,589,507,584,35,25,36713
115,815,676,61,341,486,408,420,99,11,31504
459,401,229,95,859,960,984,763,71,19,43013
348,631,338,33,568,612,742,503,42,5,31494
268,800,580,144,462,562,626,618,29,26,37492
322,441,639,144,487,587,665,577,49,21,36814
327,920,648,73,601,763,715,557,77,9,40521
390,839,574,49,490,533,547,517,12,8,32218
365,817,633,71,703,922,971,661,71,18,44010
297,571,235,29,632,728,685,543,32,15,30326
213,629,576,140,445,521,641,465,68,27,35612
251,830,464,34,350,438,490,380,48,27,28678
490,599,659,87,818,949,814,831,81,24,47037
143,570,551,82,531,777,824,501,26,10,31934
473,904,378,121,499,547,539,665,88,16,42440
267,775,617,125,628,836,683,626,16,26,38691
455,761,352,148,718,799,753,766,98,8,47174
323,477,644,36,576,729,686,599,65,15,34643
339,963,207,139,731,909,870,700,44,12,43755
460,419,487,64,766,834,735,683,75,16,39757
462,884,208,82,499,531,572,550,100,15,39113
202,988,355,99,740,995,1012,693,19,19,41004
495,920,654,143,750,767,756,768,80,27,49748
375,648,496,25,455,517,387,467,84,6,31436
327,788,277,96,629,800,778,612,44,12,38089
399,970,478,139,687,792,633,747,68,12,45555
387,822,636,49,536,481,616,465,32,20,33523
392,483,259,54,603,743,675,604,75,28,35731
308,493,244,138,598,701,657,594,68,13,36898
314,793,222,108,730,972,873,707,2,24,39138
439,749,546,135,657,698,649,688,45,27,42406
306,589,285,54,493,602,578,527,70,13,32025
425,658,209,57,662,738,824,649,6,10,34473
441,672,355,89,476,469,347,523,24,9,31447
378,451,535,110,658,805,669,741,12,16,37096
257,767,454,36,390,473,507,396,70,25,30149
381,820,209,116,550,681,542,606,5,18,35081
321,802,263,109,546,588,708,562,24,17,34958
203,748,692,102,727,978,1052,656,92,27,45097
185,499,252,77,636,968,801,567,2,25,31493
130,758,358,117,696,965,789,570,36,24,37130
376,464,409,127,777,968,897,800,10,9,40442
454,576,289,110,818,954,1042,756,4,18,41511
269,619,494,133,453,545,605,510,11,21,32593
349,701,388,119,733,966,916,808,29,19,42908
349,421,324,21,592,716,677,555,86,23,33223
281,539,272,109,559,679,557,566,22,5,31645
470,823,210,99,724,881,739,727,11,22,40458
368,715,232,53,457,472,541,543,37,25,31007
420,454,517,124,608,637,624,712,70,20,39884
149,728,442,110,648,986,934,670,6,5,36862
235,450,616,141,472,515,505,576,5,17,31144
416,846,682,133,634,613,697,681,24,5,41125
429,660,346,131,743,785,695,768,83,22,44366
169,697,527,110,507,766,668,553,82,7,37076
381,839,415,127,498,543,584,613,28,17,37263
445,845,581,133,660,804,665,714,84,23,46602
131,562,628,70,460,567,488,443,89,24,31316
392,678,577,84,551,605,494,566,53,5,35700
497,779,357,143,756,861,968,846,56,26,48472
378,626,458,31,520,525,663,538,30,11,31015
259,527,273,47,700,941,886,621,95,7,37507
329,504,573,138,585,768,725,727,72,6,41143
311,919,426,80,519,618,521,524,53,11,35389
271,814,327,36,688,960,801,571,74,14,37830
102,968,333,86,617,900,788,520,86,9,38137
382,779,493,50,797,949,828,739,24,7,39664
311,933,458,27,546,675,767,540,5,27,33072
204,401,591,144,663,820,799,647,51,17,38147
342,849,358,87,457,561,446,598,66,13,35786
191,639,396,31,479,545,571,384,56,5,27263
143,857,455,105,511,713,699,497,95,26,37953
300,733,572,54,410,458,375,416,67,11,30705
451,750,685,139,490,463,377,569,72,14,39690
253,705,499,29,607,683,813,443,23,22,31117
491,901,335,116,715,787,866,789,26,7,43919
402,624,683,27,801,988,964,714,32,20,40331
363,930,272,24,608,678,666,521,80,14,36147
159,727,629,60,717,943,906,624,64,16,38650
180,664,446,117,639,870,952,654,11,11,36723
444,884,272,22,645,655,752,530,95,5,38069
212,481,661,142,483,517,619,537,67,8,34993
156,435,401,60,566,689,639,480,24,16,27536
437,731,544,73,806,915,1014,734,53,21,44338
449,982,297,130,518,443,440,603,93,26,41399
156,860,543,28,654,849,830,457,21,5,32013
474,754,653,138,561,455,428,597,79,19,41156
496,418,626,69,597,690,773,714,90,25,41363
313,487,666,21,718,945,832,603,25,18,34629
318,770,308,66,610,642,652,543,23,19,32991
452,450,647,26,820,944,817,706,3,6,36163
188,506,416,107,467,493,511,455,21,28,28261
285,967,382,96,658,795,892,615,78,30,42676
470,615,682,100,781,998,892,840,17,21,44556
280,910,483,25,757,973,884,680,68,24,40846
